assunto;localidade;pergunta;opcao_a;opcao_b;opcao_c;opcao_d;resposta_correta
IOs_ONS;TODAS;A operação normal da Área 230 kV Norte da Região Nordeste é feita por meio de ações de coordenação, de supervisão e de controle nas tensões dos barramentos e nos carregamentos dos equipamentos pertencentes à Rede de Operação. Esta afirmação é verdadeira ou falsa?;Verdadeira;Falsa; ; ;A
IOs_ONS;TODAS;O restabelecimento de linhas de transmissão e equipamentos, após desligamento automático, pode ser realizado com autonomia pela operação da instalação, desde que explicitado em qual documento?;RDO;SM - Sequência de Manobras;Instruções de Operação de Instalações;Manual de Limites Operativos;C
IOs_ONS;TODAS;De quem é a responsabilidade de definição da quantidade de tentativas de energização manual de linhas de transmissão ou de equipamentos, bem como o intervalo entre elas?;Agente;ONS;ANEEL;Agência Reguladora;A
IOs_ONS;TODAS;A desenergização da LT 230 kV Pitombeira/ Russas II deve ser iniciada por qual instalação?;SE Pitombeira;SE Russas II;SE Banabuiú;SE Aracati;B
IOs_ONS;TODAS;De acordo com a IO-PM.NE.2NO, a energização da LT 230 kV Pitombeira/ Russas II iniciando pela SE Pitombeira é:;Permitida;Permitida, desde que a tensão na barra esteja maior que 142 kV.;Permitida, desde que a tensão na barra esteja menor ou igual a 142 kV.;Proibida;D
IOs_ONS;TODAS;De acordo com a IO-PM.NE.2NO, a energização da LT 230 kV Pitombeira/ Russas II iniciando pela SE Russas II é:;Permitida;Proibida; ; ;A
IOs_ONS;TODAS;De acordo com a IO-EE.NE.2NO, qual a ação correta quando da atuação de algum esquema especial?;Solicitar autorização do Coordenador de operação para recompor carga, equipamentos ou linhas de transmissão que foram desligados decorrentes da atuação do esquema especial.;Solicitar autorização do Coordenador de manutenção para recompor carga, equipamentos ou linhas de transmissão que foram desligados decorrentes da atuação do esquema especial.;Solicitar autorização do Coordenador da instalação para recompor carga, equipamentos ou linhas de transmissão que foram desligados decorrentes da atuação do esquema especial.;Solicitar autorização do ONS para recompor carga, equipamentos ou linhas de transmissão que foram desligados decorrentes da atuação do esquema especial.;D
IOs_ONS;TODAS;Qual a finalidade do esquema de corte de geração na SE Russas II?;Evitar sobrecarga acima do limite de curta duração na LT 230 kV Pitombeira/ Russas II, quando da contingência de LTs 230 kV da Área Norte da Região Nordeste.;Evitar sobrecarga acima do limite de curta duração na LT 230 kV Banabuiú / Russas II, quando da contingência de LTs 230 kV da Área Norte da Região Nordeste.;Evitar sobrecarga acima do limite de curta duração na LT 230 kV Banabuiú / Russas II, quando da contingência de LTs 230 kV da Área Norte da Região Sudeste.;Evitar sobrecarga acima do limite de curta duração na LT 230 kV Banabuiú / Russas II, quando da contingência de LTs 500 kV da Região Nordeste.;A
IOs_ONS;TODAS;O esquema de corte de geração na SE Russas II supervisiona o carregamento da LT 230 kV Banabuiú / Russas II – C1(C1) e, quando for verificada sobrecarga acima do limite de curta duração da LT, efetua corte de geração nos Conjuntos Jandaia, Pitombeira e Aracati II em quantos estágios?;1 estágio;2 estágios;3 estágios;4 estágios;C
IOs_ONS;TODAS;Após verificação da corrente acima do limite de curta duração da LT 230 kV Banabuiú / Russas II – C1(C1), no terminal da SE Russas II, equivalente a 621 A, o esquema de corte de geração efetuará o desligamento das LTs 230 kV Russas II / Jandaia – C1(P4), Russas II / Pitombeira – C1(P2) e Russas II / Aracati II – C1(P1) em três estágios. Em qual estágio e temporização ocorre o desligamento da LT 230 kV Russas II/Pitombeira – C1(P2)?;1º estágio e 2 segundos;2º estágio e 3 segundos;3º estágio e 4 segundos;1º estágio e 3 segundos;B
IOs_ONS;TODAS;Qual o correto procedimento para a operação do esquema de corte de geração na SE Russas II?;Manter o esquema ligado;Manter o esquema ligado, somente se estiver em operação apenas uma das LTs 230 kV Banabiu/Russas-II.;Manter o esquema desligado; Manter o esquema desligado, somente se estiver em operação apenas uma das LTs 230 kV Banabiu/Russas-II.;A
IOs_Internas;TODAS;IO-002_Qual é o objetivo da IO-COG-002?;Estabelecer critérios e procedimentos operativos a serem seguidos quando de trabalhos em equipamentos desenergizados.;Normatizar a forma de utilização dos recursos de telecomunicações de voz nas empresas de geração do Grupo Alupar.;Estabelecer critérios e procedimentos operativos para testes de comunicação quando de trabalhos em regime de linha energizada.; Estabelecer os procedimentos para liberação e normalização de serviços que dependem do sistema de comunicação de voz.;B
IOs_Internas;TODAS;IO-002_O rádio é um recurso de telecomunicação de voz que apenas permite que, a cada vez, um dos interlocutores fale e o outro escute, estabelecendo uma conversação segmentada (sistema simplex). Esta afirmativa é?; Verdadeira; Falsa; ; ;A
IOs_Internas;TODAS;IO-002_A pessoa que tem a iniciativa de fazer a chamada, utilizando algum recurso de telecomunicação de voz, é considerada?;Emissor;Receptor;Interlocutor;Feedback;A
IOs_Internas;TODAS;IO-002_Pessoa que recebe a chamada através do correspondente recurso de telecomunicação de voz, é considerada? ;Emissor;Receptor;Interlocutor;Feedback;B
IOs_Internas;TODAS;IO-002_Fraseologia é uma forma de construção de frases, adotada pela comunicação verbal peculiar a uma determinada atividade. Esta afirmativa é?; Verdadeira;Falsa; ; ;A
IOs_Internas;TODAS;IO-002_Quando houver necessidade de soletrar alguma palavra, devemos utilizar o Alfabeto Fonético Internacional. Desta forma, quais são o fonema correto para soletrar a palavra CHAVE.;Cachorro, Hotel, Alfa, Vida, Escola.;  Charlie, Hotel, Alfa, Victor, Echo.;  Charlie, Homem, Alfa, Vaca, Escola.;  Casa, Homem, Alfa, Vaca, Echo.;B
IOs_Internas;TODAS;IO-002_Quando houver necessidade de soletrar alguma palavra, devemos utilizar o Alfabeto Fonético Internacional. Desta forma, quais são o fonema correto para soletrar a palavra UNIDADE.;Universo, Navio, Igreja, Dado, Alfa, Dado, Escola.;Urso, Navio, Igreja, Dado, Alfa, Dado, Escola.;Uniform, November, Índia, Delta, Alfa, Delta, Echo.;Uniforme, Novembro, Igreja, Delta, Alfa, Delta, Echo.;C
IOs_Internas;TODAS;IO-002_Quando houver necessidade de soletrar alguma palavra, devemos utilizar o Alfabeto Fonético Internacional. Desta forma, quais são o fonema correto para soletrar a palavra FICHA.;Faca, Igreja, Charlie, Hospital, Alfa.;Faca, Índia, Casa, Hotel, Alfa.;Foxtrot, Índia, Charlie, Hotel, Alfa.;Forca, Índia, Charlie, Hospital, Alfa.;C
IOs_Internas;TODAS;IO-001_A IO-COG-001 trata de “Procedimentos para impedimentos de equipamentos ou instalações para execução de serviços nas Usinas e Pequenas Centrais Hidroelétricas operadas pelo COG”. Esta afirmação está “CORRETA”:;VERDADEIRO;FALSO; ; ;A
IOs_Internas;TODAS;IO-001_O OBJETIVO da IO-COG-001 é padronizar os procedimentos para realização de impedimentos de equipamentos ou instalações para possibilitar a de serviços e visa também estabelecer regras básicas para garantir a segurança dos profissionais envolvidos, dos equipamentos e da própria instalação. Esta afirmação está “INCORRETA”:;VERDADEIRO;FALSO; ; ;B
IOs_Internas;TODAS;IO-001_Assinale a alternativa que descreve o Atendimento Operativo Local:;Suporte operacional prestado à equipe do COG nas usinas pelos Mantenedores de forma ostensiva quando da necessidade de execução de atividades que não possuem recursos de telecomando.; De forma eventual quando houver necessidade de transferir a operação (parcial ou total) da Usina do Operador do COG para o Mantenedor, devido a indisponibilidade do sistema de supervisão e comando.;Todas as anteriores;Nenhuma das anteriores;C
IOs_Internas;TODAS;IO-001_O Bloqueio de Chaves Seccionadoras e de Aterramento consiste em retirar alimentação de corrente contínua e ou corrente alternada do comando e ou do motor de acionamento da chave seccionadora ou de aterramento, bem como a travamento mecânico do seu mecanismo de acionamento através de cadeados ou dispositivos, com a finalidade de impedir o acionamento das mesmas. Esta afirmação é:;Verdadeira;Falsa; ; ;B
IOs_Internas;TODAS;IO-001_Assinale quais dos itens a seguir faz parte das Condições de Segurança conforme IO-COG-001:;Sistema anti-incêncio CO² da UG-X bloqueado;Trip do relé X desconectado;Sistema de Automatismo do Serviço Auxiliar CA/CC bloqueado;Todas as anteriores;D
IOs_Internas;TODAS;IO-001_A informação a seguir: “Intervenção que requer ações de curto prazo, para correção de defeito, visando evitar desligamento intempestivo, risco à integridade física das pessoas, instalações ou meio ambiente ou danos ao equipamento/instalação”. Corresponde a qual TIPO de Intervenção:;Intervenção de Emergência – IE;Intervenção de Urgência – IU;Intervenção Programada – IP;Nenhuma das anteriores – NA;B
IOs_Internas;TODAS;IO-001_Para a execução de uma Intervenção Programada – IP é necessário elaborar documentos para que a atividade seja realizada com a maior segurança possível, quais são estes documentos:;MO – SM – RA;PAS – AS – SM;ATEIE – AI – MO;Nenhuma das anteriores;B
IOs_Internas;TODAS;IO-001_O serviço poderá ser autorizado e a respectiva AS entregue ao Responsável pelos Serviços depois de cumpridas todas às condições estabelecidas no campo “Condições de Segurança” do documento AS”. Esta informação é:;Verdadeira;Falsa; ; ;A
IOs_Internas;TODAS;IO-001_Qualquer operador da área de manutenção poderá devolver à AS para a OPERAÇÃO. Esta informação é:;Verdadeira;Falsa; ; ;B
IOs_Internas;TODAS;IO-001_Caso um equipamento ou instalação não possua quaisquer documentos AS referente, o mesmo deve ser considerado:;Para todos os efeitos, como estando energizado e ou, em condições normais de funcionamento;Para todos os efeitos, como estando desenergizando e ou, sem condições de funcionamento;Para todos os efeitos, como estando desenergizando em condições anormais de funcionamento;Nenhuma das alternativas anteriores;A
IOs_Internas;TODAS;IO-001_Durante o período em que o equipamento/instalação estiver sob intervenção (período compreendido entre o horário de emissão e conclusão da AS) as condições de segurança necessárias podem ser alteradas?;Sim, caso haja necessidade de alterá-las;Sim, desde que seja para a realização de testes de funcionamento;Sim, desde que haja solicitação do responsável pelos serviços e concordância do Operador do COG;Não, pois as condições de segurança necessárias e estabelecidas no documento deverão permanecer no estado operativo requerido e não poderá ser alterada em hipótese alguma.;D
IOs_Internas;TODAS;IO-001_Quem são os responsáveis para conferir o documento Sequência de Manobras – SM, antes de iniciar a liberação do equipamento/instalação?;Mantenedor, Operador-Mantenedor, Operador do COG;Pré-Operação, Pós-Operação, Gestores;Recursos Humanos, Jurídico, Motorista;Tempo Real e Pós-operação;A
IOs_Internas;TODAS;IO-001_Durante a execução do documento Sequência de Manobra – SM, devemos executar a sequência estabelecida da maneira que melhor nos convém, desrespeitando a sequência pré-estabelecida. Está afirmação está “INCORRETA”?;Sim;Não; ; ;A
IOs_Internas;TODAS;IO-001_Em qual situação é permitido a execução de determinadas manobras em equipamentos e instalações sem o documento Sequência de Manobra – SM?;Programada – risco de acidente com pessoas, risco de danificação de equipamentos ou risco de desligamento intempestivo, causando risco para o SIN;Urgência – risco de acidente com pessoas, risco de danificação de equipamentos ou risco de desligamento intempestivo, causando risco para o SIN;Emergência – risco de acidente com pessoas, risco de danificação de equipamentos ou risco de desligamento intempestivo, causando risco para o SIN;Normalmente – o colaborador decide executar uma intervenção em determinado equipamento, sem informar o Operador do COG;C
IOs_Internas;TODAS;IO-001_Com quantos dias de antecedência devemos enviar uma PAS para a Pré-operação do COG para que a atividade seja caracterizada como Intervenção Programada – IP, sem que a intervenção conste no PMI (Plano Mensal de Intervenções) do ONS?;15 dias;10 dias;20 dias;37 dias;C
IOs_Internas;TODAS;IO-001_As vantagens de uma intervenção constar no PMI (Plano Mensal de Intervenções) do ONS são as seguintes: “1 – Aprovação ou não da intervenção com 15 dias de antecedência da data do impedimento. 2 – Em caso de coincidências com intervenções de outros agentes, as intervenções constantes do PMI terão prioridade na aprovação em relação àquelas que não constam no PMI. 3 – O PMI nos instrui em como devemos executar as Manobras de Liberação das Intervenções”. Informe as opções corretas:;1 e 2;2 e 3;1 e 3;Todas.;A
IOs_Internas;TODAS;IO-001_A necessidade de uma intervenção, verificada após as 15 horas (do último dia útil) antes do início da intervenção ou no dia corrente da intervenção, corresponde a qual área do COG:;Tempo Real do COG;Pré-operação do COG;Pós-operação do COG;TI-Automação;A
IOs_Internas;TODAS;IO-001_A aprovação da Intervenção de Urgência – IU está condicionada às justificativas caracterizada por ao menos um dos três motivos a seguir:  Risco de acidente com pessoas. Risco de danificação de equipamentos. Risco iminente de desligamento intempestivo, causando risco para o SIN. Quando as solicitações não se enquadram nas três condições mencionadas, serão tratadas como exceção e precisarão da anuência prévia dos coordenadores/gerentes das áreas. Estas afirmações estão “CORRETAS”:;Sim;Não; ; ;A
IOs_Internas;TODAS;IO-001_Nas Intervenções Programadas – IP, a área de Pré-operação do COG deverá aprovar as ASs até 10 (dez) dias antes da data do impeditivo e infirmar a área de manutenção das Usinas/PCHs, salvo se está aprovação depender de aprovação do ONS ou Outro Agente. Nas intervenções de urgência, a área de operação responsável pela análise e aprovação das intervenções deverá informar a aprovação à área de manutenção das Usinas/PCHs, em até 5 (cinco) dias. Está afirmação é:;Verdadeira;Falsa; ; ;B
IOs_Internas;TODAS;IO-001_Qual a quantidade de REPROGRAMAÇÔES permitidas pela IO-COG-001:;2;3;4;5;B
IOs_Internas;TODAS;IO-001_Se o período dos serviços na solicitação da reprogramação estiver com o início previsto para o dia corrente e o término ultrapassando o limite do próximo dia útil, verificar se a programação ou reprogramação atual prevê a liberação nestes períodos. Neste caso adotar os seguintes procedimentos:;O Operador do COG/Operador Mantenedor terá condições para efetuar a análise da solicitação e aprovar (ou não) a reprogramação;O Operador do COG/Operador Mantenedor não terá condições para efetuar a análise da solicitação, sendo necessário que ele encaminhe a solicitação de reprogramação para à área de Pré-operação do COG analisar.;O Operador do COG deverá cancelar a programação e solicitar para que o mantenedor encaminhe novo processo para a área de Pré-operação;O Operador do COG deverá emitir o documento AS no dia corrente e depois reprogramar o termino das atividades para o dia requerido pelo Mantenedor;A
IOs_Internas;TODAS;IO-001_Com relação as reprogramações sob responsabilidade da Área de Pré-operação do COG, é correto afirmar que: “As solicitações de reprogramações cujo início não está previsto para o dia corrente (dia atual) deverão ser encaminhadas a área de Pré-operação do COG para análise”.;VERDADEIRO;FALSO; ; ;A
IOs_Internas;TODAS;IO-001_O que ocorre se até a data e hora prevista para o término do impedimento, não houver a solicitação de liberação dos serviços constantes das solicitações de intervenções já aprovadas?;O processo será considerado como período programado para execução expirado e os documentos integrantes deste processo serão automaticamente cancelados;O processo será considerado como período programado para execução expirado e os documentos integrantes deste processo serão automaticamente reprogramados;O processo será considerado como período programado para execução expirado e os documentos integrantes deste processo serão reprogramados pelos Mantenedores;O processo será considerado como período programado para execução expirado e os documentos integrantes deste processo poderão ser reprogramados pelos Operadores do COG;A
IOs_Internas;TODAS;IO-001_Após quanto tempo do horário programado para início das atividades, se não ocorrer a solicitação de liberação dos serviços, constantes das solicitações de intervenções, o Operador do COG deverá contatar o responsável pela solicitação da intervenção (emitente do PAS) e verificar se os serviços serão executados, reprogramados ou cancelados;30 minutos;1hora e 30 minutos;1 hora;45 minutos;C
IOs_Internas;TODAS;IO-001_Após concluídas as manobras de liberação, o operador do COG deve coordenar com o Mantenedor presente na instalação e este por sua vez juntamente com o Responsável pelos Serviços deverão executar quais ações:;O desligamento e bloqueio das alimentações de acionamento;Efetuar o travamento mecânico com cadeados e ou outros dispositivos dos equipamentos constantes das condições de segurança;A colocação do CIO nos dispositivos constantes das condições de Segurança e certificação de que todas as condições de segurança do impedimento estão corretamente atendidas;Todas as anteriores;D
IOs_Internas;TODAS;IO-001_Mediante a qual preenchimento a AS é liberada pela operação à manutenção?;Campo “Liberação”, com data e horário da liberação, nome o operador responsável pela liberação e nome do Responsável pelos Serviços;Campo “Confirmação de APR”, com data e horário da confirmação da execução da Análise Preliminar de Riscos;Campo “Confirmação dos Bloqueios” com data e horário em que foram efetuados;Campo “Normalização”, com data e horário da normalização, nome o operador responsável pela Normalização e nome do Responsável pelos Serviços;A
IOs_Internas;TODAS;IO-001_Em uma situação de emergência, caracterizada como aquela que pode causar danos a pessoas ou a equipamentos ou instalações, o Mantenedor, Operador do COG ou Operador-Mantenedor, deve efetuar de imediato as manobras necessárias para isolar os equipamentos ou instalações afetadas e em seguida informar a quem a ocorrência?1 - Centro de Operação do ONS - 2 - Operador do COG - 3 – Pré-operação, Quais estão corretas:;1 e 2;2 e 3;1 e 3;1,2 e 3;A
IOs_Internas;TODAS;IO-001_Quantos Termos de Transferência e Assunção de Responsabilidade podem ser emitidos por AS?;3;4;1;A cada necessidade de mudança do Responsável pelos Serviços;D
IOs_Internas;TODAS;IO-007_Qual é o objetivo da IO-COG-007?;Estabelecer critérios e procedimentos operativos a serem seguidos quando de trabalhos em equipamentos desenergizados.;Estabelecer critérios e procedimentos operativos a serem seguidos quando de trabalhos em equipamentos pertencentes ao Serviço Auxiliar de Corrente Alternada.;Estabelecer critérios e procedimentos operativos a serem seguidos pelos Operadores do COG e o Responsável pelos Serviços quando de trabalhos em regime de linha energizada em linhas de transmissão pertencente às geradoras do Grupo Alupar.;Estabelecer critérios e procedimentos operativos a serem seguidos pelos profissionais das áreas de Operação e Manutenção quando de trabalhos em altura.;C
IOs_Internas;TODAS;IO-007_Das alternativas abaixo, qual delas é a melhor que define a expressão “Condicionamento do Religamento Manual”?;É a inserção de Etiqueta de alerta/CIO no comando dos disjuntores da linha de transmissão e a proibição de religamento manual dos mesmos, sem prévio contato com o Responsável pelos serviços.;É a proibição de efetuar o religamento do disjuntor em caso de trip.;É a permissão do religamento manual quando o religamento automatico estiver bloqueado.;É a permissão do religamento manual quando o religamento automatico estiver desbloqueado.;A
IOs_Internas;TODAS;IO-007_Serviços realizados em dispositivos ou componentes de equipamento, estando este energizado, é a definição de Intervenção em Equipamento Energizado. Esta afirmativa é?;Verdadeira;Falsa; ; ;A
IOs_Internas;TODAS;IO-007_Durante os trabalhos em regime de linha energizada, ocorrendo desligamento da LT, quem poderá autorizar o seu religamento?;Somente o Coordenador da usina;Somente o Responsável pelos Serviços;Somente o Operador do COG;Somente o Gerente do COG;B
IOs_Internas;TODAS;IO-007_Para a realização de serviços em regime de linha energizada, é imprescindível o contato permanente entre o Responsável pelos Serviços e o Operador do COG antes do início, durante a execução e ao término dos trabalhos. Esta afirmação é?;Verdadeira;Falsa; ; ;A
IOs_Internas;TODAS;IO-007_Para realização de um trabalho, em regime de linha energizada ao longo da linha de transmissão, o Responsável pelos Serviços poder solicitar o documento AS em um dos terminais da LT e depois se deslocar para o local de trabalho.;Sim, pois a comunicação na subestação normalmente é melhor que ao longo da LT.;Não, pois antes da emissão da AS, há necessidade de testar os meios de comunicação entre o Responsável pelos serviços e o Operador do COG.;Deve ser na subestação, pois é o local onde existe todos os recursos necessários para a emissão dos documentos.;Pode ser tanto na subestação como ao longo da LT, ficando a critério do Responsável pelos Serviços.;B
IOs_Internas;TODAS;IO-007_Na impossibilidade de estabelecer um contato direto entre o Operador do COG e o Responsável pelos Serviços, nas atividades em regime de linha energizada, é possível estabelecer uma rota de comunicação alternativa. Esta afirmação é?;Verdadeira;Falsa; ; ;A
IOs_Internas;TODAS;IO-007_Durante a execução dos trabalhos, o Responsável pelos Serviços deverá efetuar testes periódicos de comunicação, no mínimo a cada uma hora, com o Operador do COG, a fim de garantir uma comunicação permanente durante todo o período de execução dos trabalhos. Esta afirmação é?;Verdadeira;Falsa; ; ;A
